Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ebfcefeae2083a56a732a8,65b82cc0849badb85cdf912b,APPROVED,Not Applicable,2024-03-09T06:08:52.682000Z,2024-03-09T06:20:24.001000Z,2024-03-13T01:55:29.080000Z,2024-03-09T06:20:24.962854Z,692,CZHA11IH,52,Chinese,36,Male,Asian,China,Australia,China,Chinese,No,Part-Time
65ec0e48587d6fd0d7896171,5fe00cde827f818fe0f356b8,APPROVED,Not Applicable,2024-03-09T07:24:17.709000Z,2024-03-09T07:47:06.193000Z,2024-03-13T01:33:10.152000Z,2024-03-09T07:47:07.520316Z,1369,CZHA11IH,191,"Cantonese, English",36,Male,Asian,Hong Kong,Canada,Hong Kong,Cantonese,No,Full-Time
65ec387a6064ab233a4fe5d9,64623fb9c31bd4da22cb60fd,APPROVED,Not Applicable,2024-03-09T10:22:52.455000Z,2024-03-09T10:38:59.718000Z,2024-03-13T01:38:01.955000Z,2024-03-09T10:39:00.916742Z,968,CZHA11IH,523,Cantonese,49,Male,Asian,Hong Kong,United Kingdom,United Kingdom,Chinese,No,Full-Time
65ec5be46ff6798ef91ca2ee,5d78ec3b3183ab00199e0943,APPROVED,Not Applicable,2024-03-09T12:53:59.962000Z,2024-03-09T12:58:56.553000Z,2024-03-13T01:39:20.347000Z,2024-03-09T12:58:57.745911Z,297,CZHA11IH,886,"Cantonese, Chinese, English",31,Male,Asian,Hong Kong,United Kingdom,Hong Kong,Chinese,No,Full-Time
65ebe875637e95d2c01fd7f5,655a72ea33298201276c64df,APPROVED,Not Applicable,2024-03-09T04:41:56.830000Z,2024-03-09T04:57:31.953000Z,2024-03-13T01:28:34.448000Z,2024-03-09T04:57:33.085087Z,936,CZHA11IH,61,"Chinese, English",27,Female,Asian,China,Canada,China,Mandarin,No,Full-Time
65ebebca8e6ddf23fdd39bf9,655a67b1c4d20ea6c0dc83af,APPROVED,Not Applicable,2024-03-09T04:55:38.055000Z,2024-03-09T05:18:30.013000Z,2024-03-13T01:42:05.948000Z,2024-03-09T05:18:31.301746Z,1372,CZHA11IH,75,Cantonese,25,Female,Asian,Hong Kong,Canada,Canada,Cantonese,No,Unemployed (and job seeking)
65ebf089985f986f5062679d,64e7e9cacf76d2e8deb2c7d5,APPROVED,Not Applicable,2024-03-09T05:15:58.564000Z,2024-03-09T05:28:15.494000Z,2024-03-13T01:45:43.108000Z,2024-03-09T05:28:16.612502Z,737,CZHA11IH,76,"English, Cantonese",23,Female,Asian,Canada,Canada,Canada,Cantonese,No,Full-Time
65ec0fb38095cd5a437150f2,5f597e39254a691df1186a21,APPROVED,Not Applicable,2024-03-09T07:28:51.156000Z,2024-03-09T07:40:51.029000Z,2024-03-13T01:34:06.700000Z,2024-03-09T07:40:52.066975Z,720,CZHA11IH,376,"Mandarin, Cantonese, Chinese",32,Female,Asian,China,Canada,China,Chinese,No,DATA_EXPIRED
65ebfdece82ba125b35fd632,65bab3c9a0c34317fb324aa4,TIMED-OUT,Not Applicable,2024-03-09T06:13:05.051000Z,,,,2109604,,24,"Chinese, English",33,Female,Asian,China,Australia,China,Chinese,Yes,DATA_EXPIRED
65ec05fbe73ea3a47721f327,62912f1dcd620b716c282102,TIMED-OUT,Not Applicable,2024-03-09T06:47:27.470000Z,,,,2107542,,189,Chinese,21,Male,Asian,China,Germany,China,Chinese,Yes,DATA_EXPIRED
65ec18ab8095cd5a437151f9,652fdbbe14ff27e2e06b94ea,RETURNED,Not Applicable,2024-03-09T08:07:12.933000Z,,,,,,61,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65ec2ae8a6328372037a5706,6126be8b50ab72b50028f62e,RETURNED,Not Applicable,2024-03-09T09:24:59.244000Z,2024-03-09T09:33:53.505000Z,,2024-03-09T09:39:48.361000Z,,CZHA11IH,1120,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65ec626eba0a9ef7fd3c6523,5c74855693f74e001330f8fe,REJECTED,Not Applicable,2024-03-09T13:21:56.014000Z,2024-03-09T13:43:14.285000Z,2024-03-10T06:09:44.550000Z,2024-03-09T13:50:50.076000Z,1279,CZHA11IH,481,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65ed7a80a87a76dad82a16ff,645a0f712b769eff5a97d2b2,APPROVED,Not Applicable,2024-03-10T09:16:53.336000Z,2024-03-10T09:41:30.864000Z,2024-03-10T22:37:06.924000Z,2024-03-10T09:41:31.648973Z,1478,R_2pLqThNuiQ2YZf2,534,Cantonese,50,Male,Asian,Hong Kong,United Kingdom,Hong Kong,Cantonese,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65fba343d57f980bc822daf2,60cee4ec871f36088fe20ff3,APPROVED,Not Applicable,2024-03-21T03:02:47.925000Z,2024-03-21T03:54:23.859000Z,2024-03-24T19:37:16.076000Z,2024-03-21T03:56:12.051637Z,3096,NOCODE,831,"Chinese, English, Mandarin",26,Female,Asian,China,Canada,China,Mandarin,No,DATA_EXPIRED
65fba9e6856e555db1950e83,65beabad4c2ea319391adf87,APPROVED,Not Applicable,2024-03-21T03:30:53.346000Z,2024-03-21T03:46:00.431000Z,2024-03-24T19:37:18.391000Z,2024-03-21T03:46:00.924457Z,908,R_7Fcm3JpmSKuklpv,53,"Chinese, English",24,Female,Asian,Taiwan,Canada,Canada,Chinese,No,Full-Time
65e4bfd8884e5dd8e597413b,656cb3a368b29fde6f42297d,APPROVED,Not Applicable,2024-03-03T18:22:31.753000Z,2024-03-03T18:39:35.018000Z,2024-03-07T19:35:05.884000Z,2024-03-03T18:39:36.241535Z,1024,CZHA11IH,100,"Cantonese, English",34,Male,Asian,Hong Kong,United Kingdom,Hong Kong,Chinese,No,Full-Time
65e4c4e6f4f63b4723f7a537,6558c3de8efffec04778beb5,APPROVED,Not Applicable,2024-03-03T18:43:50.963000Z,2024-03-03T18:52:34.521000Z,2024-03-08T05:27:13.655000Z,2024-03-03T18:52:35.264531Z,524,CZHA11IH,167,"Chinese, English",23,Male,Asian,China,United Kingdom,China,Chinese,Yes,Unemployed (and job seeking)
65e4c5f531467fe6148e28e3,6509b5c86e567afec112af86,APPROVED,Not Applicable,2024-03-03T18:48:25.349000Z,2024-03-03T18:59:18.327000Z,2024-03-07T21:01:10.622000Z,2024-03-03T18:59:19.581679Z,653,CZHA11IH,281,"English, Chinese",34,Male,Asian,China,Canada,China,Chinese,No,Full-Time
65e4c9bfcf32290531216695,5f42d7f515c23f500bd34d57,RETURNED,Not Applicable,2024-03-03T19:04:31.119000Z,,,2024-03-07T19:21:02.667499Z,,,1580,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65e4d035ff8f62cfcb72fbf9,5d8cb1c93a7d5c00196eae92,APPROVED,Not Applicable,2024-03-03T19:32:54.060000Z,2024-03-03T19:50:57.847000Z,2024-03-09T04:32:18.641000Z,2024-03-03T19:50:59.004844Z,1084,CZHA11IH,2078,Cantonese,47,Male,Asian,China,United Kingdom,United Kingdom,Chinese,No,Full-Time
65e4d734f66e65c7f97245c3,6150d629bb4f981da6ff22c5,APPROVED,Not Applicable,2024-03-03T20:01:58.706000Z,2024-03-03T20:32:43.676000Z,2024-03-09T04:32:19.592000Z,2024-03-03T20:32:44.997047Z,1845,CZHA11IH,349,"Chinese, Mandarin, English",37,Male,Asian,China,Canada,Canada,Chinese,Yes,Full-Time
65e4c025189950bea656963a,63d13d214a2a7a3987f88f5b,APPROVED,Not Applicable,2024-03-03T18:24:00.104000Z,2024-03-03T18:44:55.673000Z,2024-03-09T04:32:15.240000Z,2024-03-03T18:44:56.945104Z,1256,CZHA11IH,919,"Cantonese, Chinese, English",31,Female,Asian,Hong Kong,United Kingdom,Hong Kong,Chinese,DATA_EXPIRED,Full-Time
65e4c15cdcfff6181de40dc7,5c913839a6e0aa00162c2ca5,RETURNED,Not Applicable,2024-03-03T18:38:44.283000Z,,,2024-03-07T19:21:02.821888Z,,,1088,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65e4c24c51b91fbbe0335391,602e763eef81ce9e57528e1e,APPROVED,Not Applicable,2024-03-03T18:32:48.585000Z,2024-03-03T18:46:33.797000Z,2024-03-09T04:32:16.248000Z,2024-03-03T18:46:35.023228Z,826,CZHA11IH,1208,"Mandarin, English",50,Female,Asian,China,Canada,China,Chinese,No,Full-Time
65e4c3ab59a1df11cd6dc6c4,65ac8971ce360492af12e10b,APPROVED,Not Applicable,2024-03-03T18:38:39.004000Z,2024-03-03T18:52:04.350000Z,2024-03-09T04:32:20.898000Z,2024-03-03T18:52:04.993606Z,806,CZHA11IH,10,"English, Chinese",21,Female,Asian,China,Canada,China,Chinese,Yes,Full-Time
65e4c52dc303d8164dc5b196,5ca650fc557aec0012e200d8,APPROVED,Not Applicable,2024-03-03T18:45:08.537000Z,2024-03-03T18:51:59.346000Z,2024-03-09T04:32:17.503000Z,2024-03-03T18:52:00.255189Z,411,CZHA11IH,2318,"Chinese, English",43,Female,Asian,Hong Kong,United Kingdom,United Kingdom,Chinese,No,Full-Time
65e4c5b659a1df11cd6dc75f,6508f8468c5da4665628b834,APPROVED,Not Applicable,2024-03-03T18:47:18.145000Z,2024-03-03T18:59:19.461000Z,2024-03-07T19:57:01.067000Z,2024-03-03T18:59:20.162325Z,722,CZHA11IH,181,"English, Mandarin",25,Female,Asian,China,Canada,China,Mandarin,No,Other
660a06a7231b3207650e99da,65425ed55fbfd4e5357cccfd,APPROVED,Not Applicable,2024-04-01T00:58:25.667000Z,2024-04-01T01:08:39.981000Z,2024-04-01T20:40:24.150000Z,2024-04-01T01:08:41.579427Z,615,CZHA11IH,179,Chinese,29,Male,Asian,China,Canada,China,Mandarin,Yes,Part-Time
660a0795b0b7c69b2a5b3756,5d3522b6eac3d50017df02cb,APPROVED,Not Applicable,2024-04-01T01:02:16.591000Z,2024-04-01T01:22:19.078000Z,2024-04-01T20:40:20.781000Z,2024-04-01T01:22:21.110865Z,1203,CZHA11IH,4422,Chinese,41,Male,Asian,China,United States,United States,Chinese,No,DATA_EXPIRED
660a0b97840897eef4084238,6525f403858fe5cdc54aa01f,APPROVED,Not Applicable,2024-04-01T01:19:26.028000Z,2024-04-01T01:52:38.731000Z,2024-04-01T20:40:25.128000Z,2024-04-01T01:52:40.171228Z,1993,CZHA11IH,39,"Cantonese, Chinese, English",26,Male,Asian,Hong Kong,United Kingdom,United Kingdom,Cantonese,Yes,Other
660a0d843a03bc8160d9c92d,646184c4dd714ee460118417,APPROVED,Not Applicable,2024-04-01T01:27:44.952000Z,2024-04-01T01:57:03.362000Z,2024-04-01T20:40:21.831000Z,2024-04-01T02:01:50.789092Z,1759,CZHA11IH,94,Chinese,63,Male,Asian,China,Canada,Canada,Chinese,No,Full-Time
6609f579e40c0b60b7685059,5c5377e69e08c50001674e54,APPROVED,Not Applicable,2024-03-31T23:45:01.792000Z,2024-04-01T00:02:00.888000Z,2024-04-01T20:40:17.563000Z,2024-04-01T00:02:01.914827Z,1020,CZHA11IH,458,Chinese,30,Female,Asian,China,New Zealand,China,Chinese,No,Part-Time
6609fca65a2caff08a8a6c60,647e0f22b1d466181ae694c4,APPROVED,Not Applicable,2024-04-01T00:17:15.503000Z,2024-04-01T00:53:00.204000Z,2024-04-01T20:40:19.020000Z,2024-04-01T00:58:09.616281Z,2145,CZHA11IH,2025,Chinese,59,Female,Asian,China,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
660a0d738bc808c08d2fd4c6,65e34cc651b91fbbe032fd04,APPROVED,Not Applicable,2024-04-01T01:27:22.042000Z,2024-04-01T01:40:35.627000Z,2024-04-01T20:40:26.852000Z,2024-04-01T01:40:36.781940Z,794,CZHA11IH,21,"Chinese, English",23,Female,Asian,China,Canada,China,Chinese,Yes,Part-Time
660a1bdd5b4dfb78cc3c45b4,610ae16b62f0011d7c897a4b,APPROVED,Not Applicable,2024-04-01T02:28:49.538000Z,2024-04-01T02:44:25.146000Z,2024-04-01T20:40:23.325000Z,2024-04-01T02:44:35.480314Z,936,CZHA11IH,507,Chinese,44,Female,Asian,China,Canada,Canada,Chinese,No,DATA_EXPIRED
66092224fe63a1aeb985f3e7,63e538b2184766a67a99e21f,APPROVED,Not Applicable,2024-03-31T08:43:19.059000Z,2024-03-31T08:52:47.077000Z,2024-04-01T15:21:05.061000Z,2024-03-31T08:52:48.773873Z,569,CZHA11IH,637,"Chinese, English",42,Male,Asian,China,United Kingdom,United Kingdom,Chinese,No,Full-Time
66092ef1d5f5357e1192adae,5b66cc080e4fb5000109bd11,APPROVED,Not Applicable,2024-03-31T09:38:05.218000Z,2024-03-31T09:48:12.555000Z,2024-04-01T15:21:28.352000Z,2024-03-31T09:48:13.548026Z,608,CZHA11IH,442,Chinese,44,Male,Asian,Malaysia,New Zealand,New Zealand,Chinese,Yes,Full-Time
6609377ed108f23d777b7131,59f1cbd343bb6f00014ae2de,APPROVED,Not Applicable,2024-03-31T10:14:27.263000Z,2024-03-31T10:26:49.068000Z,2024-04-01T15:21:26.249000Z,2024-03-31T10:26:50.427299Z,742,CZHA11IH,461,"Cantonese, Chinese, English",38,Male,Asian,Hong Kong,United Kingdom,Hong Kong,Chinese,No,Full-Time
66093e782f27932c2942aa0b,614f8d4ccff5a2dc57261b32,APPROVED,Not Applicable,2024-03-31T10:44:11.550000Z,2024-03-31T10:54:14.737000Z,2024-04-01T15:21:23.591000Z,2024-03-31T10:54:16.210574Z,604,CZHA11IH,580,"Cantonese, Chinese, English",32,Male,Asian,China,United Kingdom,China,Chinese,No,Full-Time
66094150017b4f15a8e14279,650613446ae4c5e831c3d836,APPROVED,Not Applicable,2024-03-31T10:56:21.415000Z,2024-03-31T11:05:10.363000Z,2024-04-01T15:21:15.674000Z,2024-03-31T11:05:11.710691Z,529,CZHA11IH,225,"Chinese, English",28,Male,Asian,China,United Kingdom,China,Chinese,No,Unemployed (and job seeking)
66095e5b3353a2e7ba68c1dd,5faefcc22be93b11829e84df,APPROVED,Not Applicable,2024-03-31T13:00:14.510000Z,2024-03-31T13:10:39.435000Z,2024-04-01T15:21:16.899000Z,2024-03-31T13:10:40.349938Z,625,CZHA11IH,3371,"English, Chinese, Mandarin",34,Male,Asian,China,United States,United States,Chinese,No,Full-Time
6609810b5b4dfb78cc3c201e,5e12152ff9e750896b1e2262,APPROVED,Not Applicable,2024-03-31T15:28:23.649000Z,2024-03-31T15:39:04.796000Z,2024-04-01T15:21:18.519000Z,2024-03-31T16:42:09.262206Z,642,CZHA11IH,78,"Chinese, Mandarin, English",30,Male,Asian,Taiwan,Estonia,Taiwan,Chinese,No,Full-Time
660989a78ec32bccf9819a68,623486657d62ec06d0bda9b5,APPROVED,Not Applicable,2024-03-31T16:04:59.490000Z,2024-03-31T16:29:23.337000Z,2024-04-01T15:21:19.468000Z,2024-03-31T16:29:25.424718Z,1464,CZHA11IH,665,Cantonese,36,Male,Asian,Hong Kong,United Kingdom,United Kingdom,Cantonese,No,DATA_EXPIRED
66092426797cdf317f94fbc8,60cba845ce728e9261e12f6f,APPROVED,Not Applicable,2024-03-31T08:51:54.419000Z,2024-03-31T09:10:20.810000Z,2024-04-01T15:21:20.945000Z,2024-03-31T09:12:12.306895Z,1107,CZHA11IH,182,Chinese,24,Female,Asian,Malaysia,United Kingdom,Malaysia,Chinese,Yes,Full-Time
660924833c723a591197e527,651f16de04324407e195a1e7,APPROVED,Not Applicable,2024-03-31T08:53:26.580000Z,2024-03-31T09:01:37.195000Z,2024-04-01T15:21:09.863000Z,2024-03-31T09:01:39.250473Z,491,CZHA11IH,178,Chinese,28,Female,Asian,China,Canada,China,Chinese,No,Full-Time
660927e14bfebbb537bb3252,6579159231c2d0c4dd8f012b,APPROVED,Not Applicable,2024-03-31T09:07:48.944000Z,2024-03-31T09:29:37.411000Z,2024-04-01T15:21:07.130000Z,2024-03-31T09:29:38.775173Z,1309,CZHA11IH,33,"Chinese, English",26,Female,Asian,China,Australia,China,Chinese,Yes,Part-Time
660927f0aa7a94752081eb1e,63f77df437de29d7fd62b0c8,APPROVED,Not Applicable,2024-03-31T09:08:02.783000Z,2024-03-31T09:18:49.445000Z,2024-04-01T15:21:30.945000Z,2024-03-31T09:18:50.892789Z,647,CZHA11IH,694,"Cantonese, English",28,Female,Asian,Hong Kong,United Kingdom,United Kingdom,Cantonese,Yes,Part-Time
660929a0344016be2608224c,5d384c97285d1400199a2886,APPROVED,Not Applicable,2024-03-31T09:18:42.912000Z,2024-03-31T09:45:37.068000Z,2024-04-01T15:21:11.458000Z,2024-03-31T09:45:38.443085Z,1615,CZHA11IH,2196,"Cantonese, Chinese, Mandarin",44,Female,Asian,China,United Kingdom,United Kingdom,Chinese,No,Full-Time
66092e4dfe63a1aeb985f5df,62fbe44fdf4ca6bd21d3b164,APPROVED,Not Applicable,2024-03-31T09:35:14.066000Z,2024-03-31T09:47:07.202000Z,2024-04-01T15:21:12.954000Z,2024-03-31T09:47:08.630877Z,714,CZHA11IH,964,"English, Mandarin",37,Female,Asian,China,United Kingdom,China,Mandarin,No,Full-Time
66093c713c723a591197e926,594fa525f61b8e00016af178,APPROVED,Not Applicable,2024-03-31T10:36:07.412000Z,2024-03-31T11:05:21.541000Z,2024-04-01T15:21:22.887000Z,2024-03-31T11:05:22.287013Z,1755,CZHA11IH,409,Chinese,39,Female,Asian,China,France,China,Chinese,No,Part-Time
66096b6834435c49987bd3ed,6310a8ab841ddd69c4fc330c,RETURNED,Not Applicable,2024-03-31T13:56:58.213000Z,,,,,,309,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
